,category,subgroup,name,importance,shap_mean_0,shap_mean_1,shap_mean_2
53,ohlcv,history,close_lag3,0.003232607152312994,0.0010423241183161736,-0.036352887749671936,0.0
54,ohlcv,history,close_lag4,0.004013576544821262,0.032211337238550186,0.03130428120493889,0.0006709304871037602
55,ohlcv,history,close_lag5,0.011722458526492119,0.0007289919885806739,0.0,-0.029842466115951538
56,ohlcv,history,close_lag6,0.004438347183167934,-0.011308022774755955,0.000574546109419316,-0.0017129025654867291
57,ohlcv,history,close_lag7,0.007244099397212267,-0.005817790050059557,0.003348860889673233,-0.004884331952780485
58,ohlcv,history,close_lag8,0.006169509142637253,0.0020168812479823828,0.012819870375096798,-0.00788046419620514
59,ohlcv,history,close_lag9,0.005910700187087059,0.0,0.007021080236881971,0.006526005920022726
60,ohlcv,history,close_lag10,0.00015388386964332312,-0.00598306767642498,-0.0072617423720657825,-0.006087773945182562
61,ohlcv,history,open_pct_lag1,0.0011777146719396114,0.00849295873194933,0.002488788915798068,0.012759762816131115
62,ohlcv,history,open_pct_lag2,0.002792719518765807,-0.03031463734805584,-0.008444607257843018,-0.005720977205783129
63,ohlcv,history,open_pct_lag3,0.002998078940436244,-0.006624523084610701,0.010578643530607224,-0.023074854165315628
64,ohlcv,history,open_pct_lag4,0.0029421739745885134,0.0009544903296045959,-0.010706505738198757,-0.00893302634358406
65,ohlcv,history,open_pct_lag5,0.003427389543503523,-0.0005891274777241051,-0.0009409521007910371,0.0324237197637558
66,ohlcv,history,open_pct_lag6,0.0017722675111144781,0.009538416750729084,-0.02769825980067253,0.02275264449417591
67,ohlcv,history,open_pct_lag7,0.0025327084586024284,0.0015348665183410048,-0.02636076509952545,0.013202975504100323
68,ohlcv,history,open_pct_lag8,0.0016509982524439692,-0.008401494473218918,-0.00308042299002409,-0.0076490226201713085
69,ohlcv,history,open_pct_lag9,0.0021620753686875105,-0.004128106404095888,-0.0056151775643229485,1.4281169569585472e-05
70,ohlcv,history,open_pct_lag10,0.002516231033951044,-0.037227220833301544,-0.04551790654659271,-0.03003184124827385
